fecha_update	COD_LOCAL	DESCRIPCION	INVENTARIO.u.	INVENTARIO.S.
2021-12-28	2587	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2588	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2589	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2590	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2591	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2592	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2593	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2594	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2595	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2596	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2597	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2598	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2599	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2600	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2601	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2602	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2603	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2604	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2605	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2606	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2607	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2608	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2609	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2610	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2611	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2612	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2613	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2614	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2615	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2616	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2617	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2618	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2619	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	14	85.68
2021-12-28	2620	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2621	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2622	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2623	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2624	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2625	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2626	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2627	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2628	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2629	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	13	79.56
2021-12-28	2630	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	8	48.96
2021-12-28	2631	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2632	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2633	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2635	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2636	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2637	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	24	146.88
2021-12-28	2638	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2640	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2641	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2642	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2643	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2644	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2645	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2646	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2647	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	14	85.68
2021-12-28	2648	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2649	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2650	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2651	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2652	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2653	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2654	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2655	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2656	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2657	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2658	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2660	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2661	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2662	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2663	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2664	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2665	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2666	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2667	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2668	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2669	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2670	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2671	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2672	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2673	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2674	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	22	134.64
2021-12-28	2675	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2676	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2677	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2678	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2679	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2680	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
